gaze_X,gaze_Y,mes,dia,hora,ano,olhando_tela,confidence
131353,0,May,15,21,2025,True,0
580,650,May,15,21,2025,True,3
657,640,May,15,21,2025,True,3
665,638,May,15,21,2025,True,3
625,644,May,15,21,2025,True,3
527,656,May,15,21,2025,True,3
523,656,May,15,21,2025,True,3
520,657,May,15,21,2025,True,3
527,656,May,15,21,2025,True,3
626,625,May,15,21,2025,True,3
654,600,May,15,21,2025,True,3
630,596,May,15,21,2025,True,3
617,593,May,15,21,2025,True,3
609,591,May,15,21,2025,True,3
539,640,May,15,21,2025,True,3
300,737,May,15,21,2025,True,3
286,775,May,15,21,2025,True,3
298,775,May,15,21,2025,True,3
282,776,May,15,21,2025,True,3
399,718,May,15,21,2025,True,3
518,704,May,15,21,2025,True,3
533,702,May,15,21,2025,True,3
459,698,May,15,21,2025,True,3
455,692,May,15,21,2025,True,3
454,692,May,15,21,2025,True,3
462,691,May,15,21,2025,True,3
464,691,May,15,21,2025,True,3
460,736,May,15,21,2025,True,3
472,733,May,15,21,2025,True,3
475,732,May,15,21,2025,True,3
479,730,May,15,21,2025,True,3
487,728,May,15,21,2025,True,3
491,726,May,15,21,2025,True,3
496,720,May,15,21,2025,True,3
499,714,May,15,21,2025,True,3
501,712,May,15,21,2025,True,3
503,708,May,15,21,2025,True,3
505,705,May,15,21,2025,True,3
505,704,May,15,21,2025,True,3
506,703,May,15,21,2025,True,3
507,702,May,15,21,2025,True,3
508,701,May,15,21,2025,True,3
508,701,May,15,21,2025,True,3
509,701,May,15,21,2025,True,3
509,700,May,15,21,2025,True,3
509,700,May,15,21,2025,True,3
510,699,May,15,21,2025,True,3
507,701,May,15,21,2025,True,3
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
0,0,May,15,21,2025,True,0
287,711,May,15,21,2025,True,3
292,689,May,15,21,2025,True,3
295,672,May,15,21,2025,True,3
296,667,May,15,21,2025,True,3
297,664,May,15,21,2025,True,3
626,629,May,15,21,2025,True,3
629,632,May,15,21,2025,True,3
630,636,May,15,21,2025,True,3
381,699,May,15,21,2025,True,3
365,704,May,15,21,2025,True,3
